mode,config,dataset,label_pct,global_acc,f1_score,elapsed_s,relevance_mae,brier,div_corr,div_mae
binary_relevance,config_2,CovtFD,1,0.696570070964049,0.434480047286732,2408.3705649999997,0.0291350955992754,0.285073611165445,0.5792818069802452,0.0369832183908046
binary_relevance,config_12,Electricity,5,0.8012050911716916,0.7924259275722022,82.064525,0.0474642912064505,0.2021734117928679,0.6233285012390498,0.1647177011494252
binary_relevance,config_12,Electricity,1,0.7630213034843835,0.7465106028741448,72.614108,0.1233425866188703,0.242476548180173,0.5069622096694494,0.1994108045977011
binary_relevance,config_2,CovtFD,5,0.7846803169589595,0.6235421225134655,2760.689538,0.0135882352580908,0.2279057066202115,0.2729912087825124,0.0860714942528735
binary_relevance,config_12,AGR_g,5,0.7948383838383838,0.7881434309046421,163.577706,0.0219201939850664,0.2216730544567653,0.3334597173605155,0.189447816091954
binary_relevance,config_12,AGR_g,1,0.734030303030303,0.723537407523217,135.475242,0.0977427196389852,0.250671594655776,0.5646323406644559,0.268137356321839
binary_relevance,config_12,AGR_a,1,0.6745555555555556,0.6724416761100162,131.59806099999997,0.1389835281749193,0.2675148163576865,0.5013360154990993,0.311093908045977
binary_relevance,config_12,AGR_a,5,0.7998080808080809,0.7970703211045569,172.244061,0.0262862538181548,0.2275665794626746,0.4321133498346536,0.2456547126436781
binary_relevance,config_12,LED_a,1,0.5676767676767677,0.5565060598898567,166.526104,0.0505497027322409,0.2309173268262171,0.20137541812521,0.1811981609195402
binary_relevance,config_12,LED_a,5,0.6518484848484849,0.6429111705040148,219.61438399999997,0.0216308554207864,0.2380820142544712,0.4276665891171298,0.104723908045977
binary_relevance,config_12,LED_g,1,0.513989898989899,0.5009977778448362,157.303453,0.080664594309212,0.2197615804239478,0.0037687437802762,0.1621140229885057
binary_relevance,config_12,LED_g,5,0.6475151515151515,0.6405646908111124,232.239045,0.0280439892824352,0.2449309688043424,0.3672505933045845,0.0814935632183908
binary_relevance,config_12,RBF_m,5,0.8194141414141414,0.8026127794992377,203.496041,0.0211009298676962,0.2217892140983369,0.7178853509729245,0.1174622988505747
binary_relevance,config_12,RBF_m,1,0.758979797979798,0.7381341104489403,178.024237,0.0309504222911429,0.2302917184379767,0.4374982920037549,0.1624275862068965
binary_relevance,config_12,RBF_f,1,0.7334444444444445,0.7053141539628038,175.02259,0.0289450881128805,0.2328197248452155,0.3692553755011119,0.1658054022988505
binary_relevance,config_12,RBF_f,5,0.7719191919191919,0.7505260384884671,213.553864,0.0192598259757711,0.2242503544940437,0.6549714780718905,0.0965380459770114
binary_relevance,config_12,airlines,1,0.5957487513535903,0.5905006316911471,776.599075,0.0430157531111905,0.2634045921212346,0.2300736132166543,0.1850319540229884
binary_relevance,config_12,airlines,5,0.6255639572571943,0.6191714294166408,962.471729,0.0130032108247909,0.250067165509664,0.2584646560728948,0.2284306896551724
binary_relevance,config_12,CovtFD,1,0.7229488355413336,0.4994227865752659,2374.3576940000003,0.0249901360054246,0.2674256970066125,0.180552001603105,0.0439552873563218
binary_relevance,config_12,CovtFD,5,0.8063195244236326,0.6709238797383321,2958.16823,0.0147871497748302,0.2111448987367751,0.0101783004591639,0.0894747126436781
mlhat,config_13,Electricity,1,0.7508801227658423,0.4827014552280266,260.176917,0.0250430186875375,0.25841171244103,0.970216994079348,0.0353397701149425
