target,label_pct,winner,loser,k_datasets,mean_gap,cohens_d,win_rate,breakdown_point,fail_magnitude,fail_consistency,fail_stability,fragile
global_acc,1,config_10,config_9,9,0.00415777777777781,0.6117121791987901,0.5555555555555556,0.4444444444444444,False,True,False,True
global_acc,1,config_10,config_base,9,0.01213481481481484,0.770695725254722,0.8888888888888888,0.5555555555555556,False,False,False,False
global_acc,1,config_12,config_11,9,0.0034933333333333236,0.9670814685513511,0.7777777777777778,0.6666666666666666,False,False,False,False
global_acc,1,config_11,config_13,9,0.032679814814814814,0.7977293103160729,0.7777777777777778,0.5555555555555556,False,False,False,False
global_acc,1,config_11,config_2,9,0.01018444444444444,0.6138598345177262,0.7777777777777778,0.4444444444444444,False,False,False,False
global_acc,1,config_11,config_3,9,0.0004962962962963156,0.031026179650981596,0.4444444444444444,0.1111111111111111,True,True,True,True
global_acc,1,config_4,config_11,9,0.0037111111111110973,0.31073692688738963,0.5555555555555556,0.2222222222222222,False,True,False,True
global_acc,1,config_11,config_5,9,0.03478370370370372,0.7909321757210589,0.7777777777777778,0.5555555555555556,False,False,False,False
global_acc,1,config_11,config_6,9,0.020125925925925943,0.9191294209588577,0.8888888888888888,0.8888888888888888,False,False,False,False
global_acc,1,config_11,config_7,9,0.03319333333333336,0.7252705064444466,0.6666666666666666,0.5555555555555556,False,False,False,False
global_acc,1,config_11,config_8,9,0.019716296296296294,1.2025160091775624,0.8888888888888888,0.7777777777777778,False,False,False,False
global_acc,1,config_11,config_9,9,0.01239555555555558,0.37765469578566824,0.6666666666666666,0.2222222222222222,False,False,False,False
global_acc,1,config_11,config_base,9,0.02037259259259261,0.6734956089681772,0.7777777777777778,0.4444444444444444,False,False,False,False
global_acc,1,config_12,config_13,9,0.036173148148148135,0.8353530272009241,0.7777777777777778,0.6666666666666666,False,False,False,False
global_acc,1,config_12,config_2,9,0.013677777777777764,0.7553144644863927,0.7777777777777778,0.5555555555555556,False,False,False,False
