dataset,config,label_pct,diversity_measure,seed,use_mmr,use_pseudo_label,unsup_drift,inference_relevance,global_acc,f1_score,drift_count,total_instances,elapsed_s,error,inference_mode,training_mode,lbd_updates,lbd_instances,lbd_gap_mean,lbd_conf_mean,lbd_pool_updates,lbd_gap_pre_mean,lbd_conf_pre_mean
Electricity,config_12,1,disagreement,42,True,True,False,mmr,0.7589,0.739,0,44312,215.4,,mmr,train_w,36838.0,18676.0,0.3314641764984889,0.968478949126134,1693744.0,0.0596100665179181,0.8852073352283173
Electricity,config_12,5,disagreement,42,True,True,False,mmr,0.8041,0.7952,0,44312,259.4,,mmr,train_w,41508.0,18635.0,0.3393194786557014,0.9703218365982832,1744015.0,0.0674927149036645,0.9036191740570034
AGR_g,config_6,5,disagreement,42,False,True,False,none,0.7568,0.7423,5,99000,387.8,,none,disagree_c,11103.0,8048.0,0.2775356688134179,0.9607220167274882,1606748.0,-0.052845363750871,0.7362025823840304
AGR_g,config_6,1,disagreement,42,False,True,False,none,0.7016,0.6728,2,99000,346.1,,none,disagree_c,13063.0,9482.0,0.257601615441524,0.9596491274381984,1057225.0,-0.0374491636199456,0.7042268968492529
AGR_g,config_7,1,disagreement,42,False,True,False,none,0.6751,0.6123,3,99000,396.4,,none,train_C,1741902.0,98010.0,0.0,0.0,1186796.0,,
AGR_g,config_7,5,disagreement,42,False,True,False,none,0.748,0.7284,5,99000,436.3,,none,train_C,1756625.0,94050.0,0.0,0.0,1560615.0,,
AGR_g,config_8,1,disagreement,42,False,True,False,none,0.7127,0.6946,2,99000,350.9,,none,train_w,36497.0,18051.0,0.3220969307685964,0.9543959153165597,1133785.0,-0.0130107902810948,0.7554151866630721
AGR_g,config_8,5,disagreement,42,False,True,False,none,0.7354,0.7204,4,99000,450.8,,none,train_w,28498.0,14191.0,0.3416894569865136,0.953572538128662,1535985.0,-0.0141303365563921,0.7707535978882415
AGR_g,config_9,5,disagreement,42,False,True,False,sqrtAM,0.7935,0.7855,7,99000,415.1,,sqrtAM,train_C,1863737.0,94048.0,0.0,0.0,2469505.0,,
AGR_g,config_9,1,disagreement,42,False,True,False,sqrtAM,0.7187,0.701,2,99000,406.8,,sqrtAM,train_C,1706902.0,98010.0,0.0,0.0,1493037.0,,
AGR_g,config_10,5,disagreement,42,True,True,False,mmr,0.8061,0.7982,8,99000,439.4,,mmr,train_C,1814879.0,94050.0,0.0,0.0,2443643.0,,
AGR_g,config_10,1,disagreement,42,True,True,False,mmr,0.7179,0.6992,3,99000,422.5,,mmr,train_C,1626416.0,98010.0,0.0,0.0,1583081.0,,
AGR_g,config_11,1,disagreement,42,False,True,False,sqrtAM,0.7318,0.7253,3,99000,245.2,,sqrtAM,train_w,40006.0,17719.0,0.31961805325654,0.9530645802077804,1837782.0,-0.0015595510331836,0.761053118236153
AGR_g,config_11,5,disagreement,42,False,True,False,sqrtAM,0.7935,0.7903,6,99000,349.9,,sqrtAM,train_w,28651.0,14413.0,0.363605874024205,0.9500702038849262,2241321.0,-0.0148941515415918,0.7873291272631928
AGR_g,config_12,5,disagreement,42,True,True,False,mmr,0.8119,0.8076,7,99000,256.9,,mmr,train_w,33378.0,16337.0,0.3586155680726387,0.950896301669368,2355553.0,-0.0209425321907025,0.7915645185712092
AGR_g,config_12,1,disagreement,42,True,True,False,mmr,0.7283,0.7189,2,99000,235.8,,mmr,train_w,32799.0,15787.0,0.3123573796184177,0.9518390780190172,1766919.0,-0.0170484910136064,0.7497200825139979
AGR_a,config_6,5,disagreement,42,False,True,False,none,0.7202,0.7191,0,99000,228.7,,none,disagree_c,9873.0,6912.0,0.3146167375533167,0.9565621321823154,652832.0,-0.0723238080075013,0.6786269592436008
AGR_a,config_6,1,disagreement,42,False,True,False,none,0.6446,0.6446,0,99000,210.0,,none,disagree_c,9734.0,6846.0,0.2729442487337288,0.9559453887193936,589057.0,-0.0658664118026139,0.6737944873008536
AGR_a,config_7,1,disagreement,42,False,True,False,none,0.6147,0.6005,0,99000,232.9,,none,train_C,1611631.0,98010.0,0.0,0.0,607038.0,,
AGR_a,config_7,5,disagreement,42,False,True,False,none,0.7387,0.738,5,99000,266.3,,none,train_C,1744632.0,94050.0,0.0,0.0,847987.0,,
AGR_a,config_8,1,disagreement,42,False,True,False,none,0.6538,0.6534,0,99000,218.6,,none,train_w,28639.0,14296.0,0.3594452727872453,0.947852495358068,597631.0,-0.0258214095021836,0.7288746023194355
