dataset,config,label_pct,diversity_measure,seed,inference_mode,training_mode,use_mmr,use_pseudo_label,unsup_drift,inference_relevance,global_acc,f1_score,drift_count,total_instances,elapsed_s,lbd_updates,lbd_instances,lbd_gap_mean,lbd_conf_mean,lbd_gap_pre_mean,lbd_conf_pre_mean,lbd_pool_updates
Electricity,config_12,1,disagreement,44,mmr,train_w,True,True,False,mmr,0.7601,0.7438,0,44312,129.0,37446,17824,0.3135782175992512,0.9633335776350376,0.0526137586120851,0.8672120807025323,1556975
Electricity,config_base,5,disagreement,42,none,none,False,False,False,none,0.7874,0.5166,0,44312,106.8,0,0,,,,,0
Electricity,config_base,5,disagreement,43,none,none,False,False,False,none,0.7824,0.7704,0,44312,111.3,0,0,,,,,0
Electricity,config_base,1,disagreement,42,none,none,False,False,False,none,0.7541,0.4846,0,44312,92.0,0,0,,,,,0
Electricity,config_base,5,disagreement,44,none,none,False,False,False,none,0.7873,0.7769,0,44312,122.1,0,0,,,,,0
Electricity,config_base,1,disagreement,43,none,none,False,False,False,none,0.7502,0.4799,0,44312,92.1,0,0,,,,,0
Electricity,config_base,1,disagreement,44,none,none,False,False,False,none,0.7533,0.4857,0,44312,113.3,0,0,,,,,0
AGR_g,config_0,5,disagreement,42,capymoa,capymoa,False,True,False,capymoa_sleade,0.7857,0.7809,-1,99000,91.8,0,0,,,,,0
AGR_g,config_0,5,disagreement,43,capymoa,capymoa,False,True,False,capymoa_sleade,0.7764,0.7726,-1,99000,103.5,0,0,,,,,0
AGR_g,config_0,5,disagreement,44,capymoa,capymoa,False,True,False,capymoa_sleade,0.7764,0.7711,-1,99000,101.3,0,0,,,,,0
AGR_g,config_0,1,disagreement,42,capymoa,capymoa,False,True,False,capymoa_sleade,0.7298,0.7198,-1,99000,79.7,0,0,,,,,0
AGR_g,config_0,1,disagreement,43,capymoa,capymoa,False,True,False,capymoa_sleade,0.7276,0.719,-1,99000,80.3,0,0,,,,,0
AGR_g,config_0,1,disagreement,44,capymoa,capymoa,False,True,False,capymoa_sleade,0.7196,0.705,-1,99000,75.8,0,0,,,,,0
AGR_g,config_1,5,disagreement,42,margin,none,False,False,False,margin,0.7707,0.7652,4,99000,248.0,0,0,,,,,0
AGR_g,config_1,5,disagreement,43,margin,none,False,False,False,margin,0.7781,0.7729,3,99000,240.7,0,0,,,,,0
AGR_g,config_1,1,disagreement,42,margin,none,False,False,False,margin,0.7257,0.709,2,99000,180.7,0,0,,,,,0
AGR_g,config_1,5,disagreement,44,margin,none,False,False,False,margin,0.7737,0.7676,5,99000,230.6,0,0,,,,,0
AGR_g,config_1,1,disagreement,43,margin,none,False,False,False,margin,0.7274,0.7159,2,99000,187.7,0,0,,,,,0
AGR_g,config_1,1,disagreement,44,margin,none,False,False,False,margin,0.7241,0.7075,2,99000,188.4,0,0,,,,,0
AGR_g,config_2,5,disagreement,42,mlhat_A,none,False,False,False,mlhat_A,0.793,0.7858,10,99000,230.8,0,0,,,,,0
AGR_g,config_2,5,disagreement,43,mlhat_A,none,False,False,False,mlhat_A,0.7714,0.7585,4,99000,237.9,0,0,,,,,0
AGR_g,config_2,5,disagreement,44,mlhat_A,none,False,False,False,mlhat_A,0.813,0.8047,8,99000,167.9,0,0,,,,,0
AGR_g,config_2,1,disagreement,42,mlhat_A,none,False,False,False,mlhat_A,0.7153,0.694,3,99000,186.4,0,0,,,,,0
AGR_g,config_2,1,disagreement,43,mlhat_A,none,False,False,False,mlhat_A,0.7112,0.6791,2,99000,189.3,0,0,,,,,0
AGR_g,config_2,1,disagreement,44,mlhat_A,none,False,False,False,mlhat_A,0.7186,0.6985,4,99000,182.3,0,0,,,,,0
AGR_g,config_3,5,disagreement,42,sqrtAM,none,False,False,False,sqrtAM,0.773,0.7682,3,99000,181.2,0,0,,,,,0
AGR_g,config_3,5,disagreement,43,sqrtAM,none,False,False,False,sqrtAM,0.7805,0.7757,4,99000,240.0,0,0,,,,,0
AGR_g,config_3,5,disagreement,44,sqrtAM,none,False,False,False,sqrtAM,0.7759,0.7713,4,99000,227.5,0,0,,,,,0
AGR_g,config_3,1,disagreement,42,sqrtAM,none,False,False,False,sqrtAM,0.7272,0.7112,3,99000,180.6,0,0,,,,,0
AGR_g,config_3,1,disagreement,43,sqrtAM,none,False,False,False,sqrtAM,0.7258,0.7145,3,99000,187.0,0,0,,,,,0
AGR_g,config_3,1,disagreement,44,sqrtAM,none,False,False,False,sqrtAM,0.7248,0.7088,2,99000,188.3,0,0,,,,,0
AGR_g,config_4,5,disagreement,42,mmr,none,True,False,False,mmr,0.7927,0.787,6,99000,254.3,0,0,,,,,0
AGR_g,config_4,5,disagreement,43,mmr,none,True,False,False,mmr,0.7897,0.7836,3,99000,235.2,0,0,,,,,0
AGR_g,config_4,5,disagreement,44,mmr,none,True,False,False,mmr,0.7973,0.7911,9,99000,192.7,0,0,,,,,0
AGR_g,config_4,1,disagreement,42,mmr,none,True,False,False,mmr,0.7331,0.7165,2,99000,192.4,0,0,,,,,0
AGR_g,config_4,1,disagreement,43,mmr,none,True,False,False,mmr,0.7323,0.7202,2,99000,201.3,0,0,,,,,0
AGR_g,config_4,1,disagreement,44,mmr,none,True,False,False,mmr,0.731,0.7144,2,99000,202.6,0,0,,,,,0
AGR_g,config_5,5,disagreement,42,none,self_train_M,False,True,False,none,0.7472,0.7284,4,99000,279.3,1775202,94050,0.0,0.0,,,1557855
AGR_g,config_5,5,disagreement,43,none,self_train_M,False,True,False,none,0.7715,0.7552,3,99000,292.0,1801036,94050,0.0,0.0,,,1502622
AGR_g,config_5,5,disagreement,44,none,self_train_M,False,True,False,none,0.7903,0.7808,7,99000,294.1,2026604,94050,0.0,0.0,,,2053276
AGR_g,config_5,1,disagreement,42,none,self_train_M,False,True,False,none,0.671,0.6027,3,99000,249.4,1746235,98010,0.0,0.0,,,1188412
AGR_g,config_5,1,disagreement,43,none,self_train_M,False,True,False,none,0.6959,0.6546,4,99000,208.1,1819600,98010,0.0,0.0,,,1518569
AGR_g,config_5,1,disagreement,44,none,self_train_M,False,True,False,none,0.7174,0.6993,3,99000,227.0,2013692,98010,0.0,0.0,,,1933996
AGR_g,config_6,5,disagreement,42,none,disagree_c,False,True,False,none,0.7568,0.7423,5,99000,234.9,11103,8048,0.2775356688134179,0.9607220167274882,-0.052845363750871,0.7362025823840304,1606748
AGR_g,config_6,5,disagreement,43,none,disagree_c,False,True,False,none,0.765,0.7509,5,99000,265.5,13314,9690,0.2573953252285308,0.963248434367834,-0.0507942481186491,0.7327321612922919,1572566
AGR_g,config_6,5,disagreement,44,none,disagree_c,False,True,False,none,0.7859,0.7766,7,99000,210.0,5096,3881,0.352752878496385,0.9631759865750372,-0.0419944387887665,0.7727598306044945,2103570
AGR_g,config_6,1,disagreement,42,none,disagree_c,False,True,False,none,0.7016,0.6728,2,99000,203.8,13063,9482,0.257601615441524,0.9596491274381984,-0.0374491636199456,0.7042268968492529,1057225
AGR_g,config_6,1,disagreement,43,none,disagree_c,False,True,False,none,0.7139,0.6871,2,99000,211.8,14781,10476,0.2588389092359119,0.961429981173466,-0.0384890709912296,0.7130302209286453,1167468
AGR_g,config_6,1,disagreement,44,none,disagree_c,False,True,False,none,0.7093,0.6922,4,99000,223.0,12422,8912,0.3094003509799506,0.9608092427784612,-0.0378623652465396,0.7293550505554174,1472175
AGR_g,config_7,5,disagreement,42,none,train_C,False,True,False,none,0.7479,0.7324,5,99000,277.0,1746547,94048,0.0,0.0,,,1547073
AGR_g,config_7,5,disagreement,43,none,train_C,False,True,False,none,0.782,0.7702,5,99000,280.5,1835236,94050,0.0,0.0,,,1679520
AGR_g,config_7,5,disagreement,44,none,train_C,False,True,False,none,0.8008,0.791,6,99000,291.9,2025689,94050,0.0,0.0,,,2155481
